instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,total_hour
2614.0,2011-04-23,2,0,4,19.0,0,6,0,1,0.56,0.5303,0.83,0.2836,84,199,283,283.0
2615.0,2011-04-23,2,0,4,20.0,0,6,0,2,0.54,0.5152,0.88,0.2537,45,138,183,183.0
2616.0,2011-04-23,2,0,4,21.0,0,6,0,2,0.56,0.5303,0.83,0.2836,32,103,135,135.0
2617.0,2011-04-23,2,0,4,22.0,0,6,0,2,0.58,0.5455,0.78,0.2537,55,114,169,169.0
2618.0,2011-04-23,2,0,4,23.0,0,6,0,2,0.54,0.5152,0.88,0.1642,31,86,117,117.0
2619.0,2011-04-24,2,0,4,0.0,0,0,0,1,0.52,0.5,0.83,0.2239,30,66,96,96.0
2620.0,2011-04-24,2,0,4,1.0,0,0,0,1,0.5,0.4848,0.88,0.194,14,40,54,54.0
2621.0,2011-04-24,2,0,4,2.0,0,0,0,1,0.5,0.4848,0.88,0.194,27,45,72,72.0
2622.0,2011-04-24,2,0,4,3.0,0,0,0,1,0.5,0.4848,0.94,0.0896,4,20,24,24.0
2623.0,2011-04-24,2,0,4,4.0,0,0,0,1,0.5,0.4848,0.94,0.0896,0,5,5,5.0
2624.0,2011-04-24,2,0,4,5.0,0,0,0,1,0.5,0.4848,0.94,0.0896,5,7,12,12.0
2625.0,2011-04-24,2,0,4,6.0,0,0,0,2,0.5,0.4848,1.0,0.0,10,3,13,13.0
2626.0,2011-04-24,2,0,4,7.0,0,0,0,2,0.5,0.4848,1.0,0.0,16,11,27,27.0
2627.0,2011-04-24,2,0,4,8.0,0,0,0,1,0.52,0.5,0.94,0.2239,38,42,80,80.0
2628.0,2011-04-24,2,0,4,9.0,0,0,0,1,0.56,0.5303,0.88,0.2537,73,104,177,177.0
2629.0,2011-04-24,2,0,4,10.0,0,0,0,1,0.6,0.5758,0.78,0.1642,118,171,289,289.0
2630.0,2011-04-24,2,0,4,11.0,0,0,0,1,0.66,0.6212,0.65,0.1343,124,193,317,317.0
2631.0,2011-04-24,2,0,4,12.0,0,0,0,1,0.68,0.6364,0.65,0.2537,168,220,388,388.0
2632.0,2011-04-24,2,0,4,13.0,0,0,0,1,0.7,0.6515,0.58,0.2836,205,236,441,441.0
2633.0,2011-04-24,2,0,4,14.0,0,0,0,1,0.7,0.6515,0.54,0.3284,197,223,420,420.0
2634.0,2011-04-24,2,0,4,15.0,0,0,0,1,0.66,0.6212,0.61,0.2537,167,202,369,369.0
2635.0,2011-04-24,2,0,4,16.0,0,0,0,1,0.74,0.6667,0.48,0.3881,162,197,359,359.0
2636.0,2011-04-24,2,0,4,17.0,0,0,0,1,0.66,0.6212,0.65,0.2985,142,189,331,331.0
2637.0,2011-04-24,2,0,4,18.0,0,0,0,1,0.64,0.6061,0.69,0.1642,96,174,270,270.0
2638.0,2011-04-24,2,0,4,19.0,0,0,0,3,0.6,0.5606,0.83,0.2836,62,132,194,194.0
2639.0,2011-04-24,2,0,4,20.0,0,0,0,3,0.6,0.5606,0.83,0.2836,34,71,105,105.0
2640.0,2011-04-24,2,0,4,21.0,0,0,0,3,0.54,0.5152,0.94,0.1642,8,53,61,61.0
2641.0,2011-04-24,2,0,4,22.0,0,0,0,3,0.54,0.5152,1.0,0.1642,5,40,45,45.0
2642.0,2011-04-24,2,0,4,23.0,0,0,0,3,0.54,0.5152,1.0,0.0896,5,37,42,42.0
2643.0,2011-04-25,2,0,4,0.0,0,1,1,3,0.52,0.5,1.0,0.0,2,10,12,12.0
2644.0,2011-04-25,2,0,4,1.0,0,1,1,1,0.54,0.5152,1.0,0.0896,2,8,10,10.0
2645.0,2011-04-25,2,0,4,2.0,0,1,1,1,0.54,0.5152,1.0,0.0896,1,9,10,10.0
2646.0,2011-04-25,2,0,4,3.0,0,1,1,2,0.5,0.4848,1.0,0.1045,2,8,10,10.0
2647.0,2011-04-25,2,0,4,4.0,0,1,1,2,0.52,0.5,1.0,0.0,1,4,5,5.0
2648.0,2011-04-25,2,0,4,5.0,0,1,1,2,0.46,0.4545,1.0,0.0,3,14,17,17.0
2649.0,2011-04-25,2,0,4,6.0,0,1,1,2,0.5,0.4848,1.0,0.0,7,59,66,66.0
2650.0,2011-04-25,2,0,4,7.0,0,1,1,2,0.52,0.5,1.0,0.0896,13,183,196,196.0
2651.0,2011-04-25,2,0,4,8.0,0,1,1,1,0.56,0.5303,0.88,0.1045,27,326,353,353.0
2652.0,2011-04-25,2,0,4,9.0,0,1,1,1,0.6,0.5606,0.83,0.1343,27,147,174,174.0
2653.0,2011-04-25,2,0,4,10.0,0,1,1,1,0.64,0.6061,0.73,0.2239,61,64,125,125.0
2654.0,2011-04-25,2,0,4,11.0,0,1,1,1,0.64,0.6061,0.73,0.2239,53,94,147,147.0
2655.0,2011-04-25,2,0,4,12.0,0,1,1,1,0.66,0.6212,0.74,0.2537,48,140,188,188.0
2656.0,2011-04-25,2,0,4,13.0,0,1,1,1,0.7,0.6515,0.65,0.2239,57,146,203,203.0
2657.0,2011-04-25,2,0,4,14.0,0,1,1,1,0.72,0.6667,0.54,0.2239,47,99,146,146.0
2658.0,2011-04-25,2,0,4,15.0,0,1,1,1,0.74,0.6667,0.51,0.2239,50,125,175,175.0
2659.0,2011-04-25,2,0,4,16.0,0,1,1,1,0.7,0.6515,0.54,0.3582,41,198,239,239.0
2660.0,2011-04-25,2,0,4,17.0,0,1,1,1,0.7,0.6515,0.54,0.2985,80,441,521,521.0
2661.0,2011-04-25,2,0,4,18.0,0,1,1,1,0.68,0.6364,0.57,0.3582,74,425,499,499.0
2662.0,2011-04-25,2,0,4,19.0,0,1,1,1,0.66,0.6212,0.57,0.3284,62,320,382,382.0
2663.0,2011-04-25,2,0,4,20.0,0,1,1,1,0.66,0.6212,0.61,0.2836,42,195,237,237.0
2664.0,2011-04-25,2,0,4,21.0,0,1,1,1,0.62,0.6061,0.69,0.2537,41,149,190,190.0
2665.0,2011-04-25,2,0,4,22.0,0,1,1,1,0.6,0.5909,0.73,0.2985,23,83,106,106.0
2666.0,2011-04-25,2,0,4,23.0,0,1,1,1,0.58,0.5455,0.78,0.2836,9,53,62,62.0
2667.0,2011-04-26,2,0,4,0.0,0,2,1,1,0.62,0.6061,0.69,0.2836,10,17,27,27.0
2668.0,2011-04-26,2,0,4,1.0,0,2,1,1,0.62,0.5909,0.73,0.2836,16,5,21,21.0
2669.0,2011-04-26,2,0,4,2.0,0,2,1,1,0.56,0.5303,0.83,0.3284,17,9,26,26.0
2670.0,2011-04-26,2,0,4,3.0,0,2,1,1,0.54,0.5152,0.88,0.2836,17,4,21,21.0
2671.0,2011-04-26,2,0,4,4.0,0,2,1,1,0.56,0.5303,0.83,0.2537,2,4,6,6.0
2672.0,2011-04-26,2,0,4,5.0,0,2,1,1,0.54,0.5152,0.88,0.2537,0,16,16,16.0
2673.0,2011-04-26,2,0,4,6.0,0,2,1,1,0.56,0.5303,0.88,0.2239,0,80,80,80.0
2674.0,2011-04-26,2,0,4,7.0,0,2,1,1,0.58,0.5455,0.83,0.2985,16,254,270,270.0
2675.0,2011-04-26,2,0,4,8.0,0,2,1,1,0.58,0.5455,0.83,0.2985,32,417,449,449.0
2676.0,2011-04-26,2,0,4,9.0,0,2,1,1,0.64,0.6061,0.73,0.3582,35,164,199,199.0
2677.0,2011-04-26,2,0,4,10.0,0,2,1,1,0.66,0.6212,0.69,0.3582,22,98,120,120.0
2678.0,2011-04-26,2,0,4,11.0,0,2,1,1,0.68,0.6364,0.65,0.3881,40,132,172,172.0
2679.0,2011-04-26,2,0,4,12.0,0,2,1,1,0.7,0.6515,0.61,0.4179,40,146,186,186.0
2680.0,2011-04-26,2,0,4,13.0,0,2,1,1,0.74,0.6667,0.51,0.4478,37,139,176,176.0
2681.0,2011-04-26,2,0,4,14.0,0,2,1,1,0.72,0.6667,0.58,0.3284,40,115,155,155.0
2682.0,2011-04-26,2,0,4,15.0,0,2,1,1,0.7,0.6515,0.61,0.3582,34,119,153,153.0
2683.0,2011-04-26,2,0,4,16.0,0,2,1,1,0.7,0.6515,0.58,0.3881,40,251,291,291.0
2684.0,2011-04-26,2,0,4,17.0,0,2,1,1,0.68,0.6364,0.61,0.3582,66,455,521,521.0
2685.0,2011-04-26,2,0,4,18.0,0,2,1,1,0.68,0.6364,0.65,0.4478,65,463,528,528.0
2686.0,2011-04-26,2,0,4,19.0,0,2,1,1,0.64,0.6061,0.73,0.4179,42,286,328,328.0
2687.0,2011-04-26,2,0,4,20.0,0,2,1,1,0.64,0.6061,0.73,0.3582,35,199,234,234.0
2688.0,2011-04-26,2,0,4,21.0,0,2,1,1,0.62,0.5909,0.78,0.2836,33,162,195,195.0
2689.0,2011-04-26,2,0,4,22.0,0,2,1,2,0.6,0.5606,0.83,0.194,32,116,148,148.0
2690.0,2011-04-26,2,0,4,23.0,0,2,1,2,0.6,0.5606,0.83,0.2239,7,71,78,78.0
2691.0,2011-04-27,2,0,4,0.0,0,3,1,1,0.6,0.5606,0.83,0.2239,3,24,27,27.0
2692.0,2011-04-27,2,0,4,1.0,0,3,1,1,0.6,0.5606,0.83,0.2537,2,15,17,17.0
2693.0,2011-04-27,2,0,4,2.0,0,3,1,1,0.58,0.5455,0.88,0.2537,0,5,5,5.0
2694.0,2011-04-27,2,0,4,3.0,0,3,1,2,0.58,0.5455,0.88,0.2836,3,4,7,7.0
2695.0,2011-04-27,2,0,4,4.0,0,3,1,1,0.56,0.5303,0.94,0.2239,0,6,6,6.0
2696.0,2011-04-27,2,0,4,5.0,0,3,1,2,0.56,0.5303,0.94,0.2537,1,16,17,17.0
2697.0,2011-04-27,2,0,4,6.0,0,3,1,1,0.56,0.5303,0.94,0.2537,5,79,84,84.0
2698.0,2011-04-27,2,0,4,7.0,0,3,1,2,0.58,0.5455,0.88,0.2836,17,229,246,246.0
2699.0,2011-04-27,2,0,4,8.0,0,3,1,2,0.58,0.5455,0.88,0.3284,31,413,444,444.0
2700.0,2011-04-27,2,0,4,9.0,0,3,1,2,0.6,0.5455,0.88,0.4179,20,161,181,181.0
2701.0,2011-04-27,2,0,4,10.0,0,3,1,2,0.62,0.5758,0.83,0.2836,26,66,92,92.0
2702.0,2011-04-27,2,0,4,11.0,0,3,1,2,0.64,0.5909,0.78,0.2836,53,103,156,156.0
2703.0,2011-04-27,2,0,4,12.0,0,3,1,1,0.66,0.6061,0.78,0.3284,38,135,173,173.0
2704.0,2011-04-27,2,0,4,13.0,0,3,1,1,0.64,0.5909,0.78,0.2985,31,119,150,150.0
2705.0,2011-04-27,2,0,4,14.0,0,3,1,1,0.68,0.6364,0.74,0.2836,29,119,148,148.0
2706.0,2011-04-27,2,0,4,15.0,0,3,1,1,0.7,0.6515,0.65,0.4925,18,120,138,138.0
2707.0,2011-04-27,2,0,4,16.0,0,3,1,1,0.7,0.6515,0.7,0.3881,29,189,218,218.0
2708.0,2011-04-27,2,0,4,17.0,0,3,1,3,0.66,0.6061,0.83,0.3881,63,458,521,521.0
2709.0,2011-04-27,2,0,4,18.0,0,3,1,3,0.66,0.6061,0.83,0.3881,46,366,412,412.0
2710.0,2011-04-27,2,0,4,19.0,0,3,1,1,0.62,0.5909,0.78,0.2836,40,220,260,260.0
2711.0,2011-04-27,2,0,4,20.0,0,3,1,1,0.64,0.5758,0.83,0.3284,30,188,218,218.0
2712.0,2011-04-27,2,0,4,21.0,0,3,1,1,0.62,0.5606,0.88,0.2836,19,126,145,145.0
2713.0,2011-04-27,2,0,4,22.0,0,3,1,2,0.62,0.5606,0.88,0.3284,18,111,129,129.0
2714.0,2011-04-27,2,0,4,23.0,0,3,1,2,0.62,0.5606,0.88,0.3582,25,53,78,78.0
2715.0,2011-04-28,2,0,4,0.0,0,4,1,1,0.64,0.5909,0.78,0.3582,13,41,54,54.0
2716.0,2011-04-28,2,0,4,1.0,0,4,1,2,0.62,0.5758,0.83,0.3881,8,12,20,20.0
2717.0,2011-04-28,2,0,4,2.0,0,4,1,2,0.62,0.5758,0.83,0.4478,14,7,21,21.0
2718.0,2011-04-28,2,0,4,3.0,0,4,1,2,0.64,0.5909,0.78,0.3881,2,1,3,3.0
2719.0,2011-04-28,2,0,4,4.0,0,4,1,2,0.62,0.5758,0.83,0.4179,4,5,9,9.0
2720.0,2011-04-28,2,0,4,5.0,0,4,1,2,0.62,0.5758,0.83,0.3881,0,13,13,13.0
2721.0,2011-04-28,2,0,4,6.0,0,4,1,2,0.64,0.5909,0.78,0.4627,7,79,86,86.0
2722.0,2011-04-28,2,0,4,7.0,0,4,1,2,0.64,0.5909,0.78,0.4478,14,201,215,215.0
2723.0,2011-04-28,2,0,4,8.0,0,4,1,2,0.66,0.6061,0.78,0.4478,31,367,398,398.0
2724.0,2011-04-28,2,0,4,9.0,0,4,1,3,0.62,0.5606,0.88,0.3284,18,165,183,183.0
2725.0,2011-04-28,2,0,4,10.0,0,4,1,2,0.62,0.5606,0.88,0.2836,9,45,54,54.0
2726.0,2011-04-28,2,0,4,11.0,0,4,1,2,0.62,0.5758,0.83,0.2836,10,74,84,84.0
2727.0,2011-04-28,2,0,4,12.0,0,4,1,2,0.62,0.5909,0.78,0.2537,23,84,107,107.0
2728.0,2011-04-28,2,0,4,13.0,0,4,1,2,0.62,0.5758,0.83,0.2985,18,103,121,121.0
2729.0,2011-04-28,2,0,4,14.0,0,4,1,1,0.62,0.5758,0.83,0.2985,21,121,142,142.0
2730.0,2011-04-28,2,0,4,15.0,0,4,1,1,0.66,0.6212,0.69,0.3284,46,117,163,163.0
2731.0,2011-04-28,2,0,4,16.0,0,4,1,1,0.62,0.5909,0.78,0.2537,42,228,270,270.0
2732.0,2011-04-28,2,0,4,17.0,0,4,1,1,0.64,0.6212,0.47,0.3582,49,406,455,455.0
2733.0,2011-04-28,2,0,4,18.0,0,4,1,1,0.64,0.6212,0.47,0.3582,44,486,530,530.0
2734.0,2011-04-28,2,0,4,19.0,0,4,1,1,0.62,0.6212,0.43,0.2985,57,347,404,404.0
2735.0,2011-04-28,2,0,4,20.0,0,4,1,1,0.58,0.5455,0.43,0.2239,49,220,269,269.0
2736.0,2011-04-28,2,0,4,21.0,0,4,1,1,0.56,0.5303,0.46,0.1343,27,167,194,194.0
2737.0,2011-04-28,2,0,4,22.0,0,4,1,1,0.54,0.5152,0.45,0.1642,34,119,153,153.0
2738.0,2011-04-28,2,0,4,23.0,0,4,1,1,0.54,0.5152,0.39,0.0896,29,81,110,110.0
2739.0,2011-04-29,2,0,4,0.0,0,5,1,1,0.52,0.5,0.39,0.2836,11,37,48,48.0
2740.0,2011-04-29,2,0,4,1.0,0,5,1,1,0.5,0.4848,0.45,0.0896,10,21,31,31.0
2741.0,2011-04-29,2,0,4,2.0,0,5,1,1,0.46,0.4545,0.63,0.1045,2,8,10,10.0
2742.0,2011-04-29,2,0,4,3.0,0,5,1,1,0.46,0.4545,0.59,0.0896,1,4,5,5.0
2743.0,2011-04-29,2,0,4,4.0,0,5,1,1,0.46,0.4545,0.51,0.1343,0,6,6,6.0
2744.0,2011-04-29,2,0,4,5.0,0,5,1,1,0.46,0.4545,0.47,0.1343,0,25,25,25.0
2745.0,2011-04-29,2,0,4,6.0,0,5,1,1,0.5,0.4848,0.45,0.2836,4,67,71,71.0
2746.0,2011-04-29,2,0,4,7.0,0,5,1,1,0.52,0.5,0.42,0.194,18,222,240,240.0
2747.0,2011-04-29,2,0,4,8.0,0,5,1,1,0.54,0.5152,0.39,0.2985,35,386,421,421.0
2748.0,2011-04-29,2,0,4,9.0,0,5,1,1,0.54,0.5152,0.39,0.3284,45,185,230,230.0
2749.0,2011-04-29,2,0,4,10.0,0,5,1,1,0.56,0.5303,0.4,0.2836,57,99,156,156.0
2750.0,2011-04-29,2,0,4,11.0,0,5,1,1,0.6,0.6212,0.38,0.2239,49,108,157,157.0
2751.0,2011-04-29,2,0,4,12.0,0,5,1,1,0.56,0.5303,0.37,0.2836,63,160,223,223.0
2752.0,2011-04-29,2,0,4,13.0,0,5,1,1,0.56,0.5303,0.37,0.2985,74,234,308,308.0
2753.0,2011-04-29,2,0,4,14.0,0,5,1,1,0.6,0.6212,0.35,0.3284,58,190,248,248.0
2754.0,2011-04-29,2,0,4,15.0,0,5,1,2,0.56,0.5303,0.4,0.2985,77,175,252,252.0
2755.0,2011-04-29,2,0,4,16.0,0,5,1,2,0.54,0.5152,0.42,0.3582,59,240,299,299.0
2756.0,2011-04-29,2,0,4,17.0,0,5,1,2,0.52,0.5,0.45,0.3881,75,433,508,508.0
2757.0,2011-04-29,2,0,4,18.0,0,5,1,1,0.52,0.5,0.48,0.3582,55,384,439,439.0
2758.0,2011-04-29,2,0,4,19.0,0,5,1,1,0.46,0.4545,0.55,0.3284,40,230,270,270.0
2759.0,2011-04-29,2,0,4,20.0,0,5,1,1,0.48,0.4697,0.48,0.2239,34,160,194,194.0
2760.0,2011-04-29,2,0,4,21.0,0,5,1,1,0.46,0.4545,0.51,0.194,50,145,195,195.0
2761.0,2011-04-29,2,0,4,22.0,0,5,1,1,0.42,0.4242,0.58,0.1642,36,110,146,146.0
2762.0,2011-04-29,2,0,4,23.0,0,5,1,2,0.44,0.4394,0.54,0.0896,25,88,113,113.0
2763.0,2011-04-30,2,0,4,0.0,0,6,0,2,0.44,0.4394,0.54,0.2537,33,73,106,106.0
2764.0,2011-04-30,2,0,4,1.0,0,6,0,2,0.44,0.4394,0.54,0.1642,15,59,74,74.0
2765.0,2011-04-30,2,0,4,2.0,0,6,0,2,0.44,0.4394,0.54,0.2239,12,53,65,65.0
2766.0,2011-04-30,2,0,4,3.0,0,6,0,2,0.42,0.4242,0.54,0.194,4,13,17,17.0
2767.0,2011-04-30,2,0,4,4.0,0,6,0,2,0.42,0.4242,0.54,0.2239,2,5,7,7.0
2768.0,2011-04-30,2,0,4,5.0,0,6,0,1,0.42,0.4242,0.54,0.3881,3,4,7,7.0
2769.0,2011-04-30,2,0,4,6.0,0,6,0,1,0.4,0.4091,0.58,0.2836,10,11,21,21.0
2770.0,2011-04-30,2,0,4,7.0,0,6,0,1,0.4,0.4091,0.54,0.3881,21,27,48,48.0
2771.0,2011-04-30,2,0,4,8.0,0,6,0,1,0.4,0.4091,0.54,0.2985,21,70,91,91.0
2772.0,2011-04-30,2,0,4,9.0,0,6,0,1,0.44,0.4394,0.51,0.3582,35,121,156,156.0
2773.0,2011-04-30,2,0,4,10.0,0,6,0,1,0.48,0.4697,0.44,0.3881,94,185,279,279.0
2774.0,2011-04-30,2,0,4,11.0,0,6,0,1,0.5,0.4848,0.42,0.3582,120,201,321,321.0
2775.0,2011-04-30,2,0,4,12.0,0,6,0,1,0.52,0.5,0.42,0.3881,178,238,416,416.0
2776.0,2011-04-30,2,0,4,13.0,0,6,0,1,0.54,0.5152,0.39,0.2985,185,270,455,455.0
2777.0,2011-04-30,2,0,4,14.0,0,6,0,1,0.54,0.5152,0.39,0.2239,184,268,452,452.0
2778.0,2011-04-30,2,0,4,15.0,0,6,0,1,0.56,0.5303,0.37,0.1343,217,282,499,499.0
2779.0,2011-04-30,2,0,4,16.0,0,6,0,1,0.58,0.5455,0.37,0.194,191,273,464,464.0
2780.0,2011-04-30,2,0,4,17.0,0,6,0,1,0.56,0.5303,0.43,0.1343,162,245,407,407.0
2781.0,2011-04-30,2,0,4,18.0,0,6,0,1,0.54,0.5152,0.43,0.1343,134,237,371,371.0
2782.0,2011-04-30,2,0,4,19.0,0,6,0,1,0.54,0.5152,0.43,0.1343,150,237,387,387.0
2783.0,2011-04-30,2,0,4,20.0,0,6,0,1,0.44,0.4394,0.62,0.1343,65,159,224,224.0
2784.0,2011-04-30,2,0,4,21.0,0,6,0,1,0.44,0.4394,0.62,0.1343,58,119,177,177.0
2785.0,2011-04-30,2,0,4,22.0,0,6,0,1,0.44,0.4394,0.67,0.1045,37,106,143,143.0
2786.0,2011-04-30,2,0,4,23.0,0,6,0,1,0.44,0.4394,0.67,0.1045,34,91,125,125.0
2787.0,2011-05-01,2,0,5,0.0,0,0,0,1,0.42,0.4242,0.67,0.0896,19,77,96,96.0
2788.0,2011-05-01,2,0,5,1.0,0,0,0,1,0.42,0.4242,0.69,0.1045,9,50,59,59.0
2789.0,2011-05-01,2,0,5,2.0,0,0,0,1,0.42,0.4242,0.77,0.1045,7,43,50,50.0
2790.0,2011-05-01,2,0,5,3.0,0,0,0,1,0.4,0.4091,0.82,0.1045,8,15,23,23.0
2791.0,2011-05-01,2,0,5,4.0,0,0,0,1,0.4,0.4091,0.76,0.1045,6,11,17,17.0
2792.0,2011-05-01,2,0,5,5.0,0,0,0,1,0.4,0.4091,0.82,0.0896,0,10,10,10.0
2793.0,2011-05-01,2,0,5,6.0,0,0,0,2,0.4,0.4091,0.82,0.0896,4,9,13,13.0
2794.0,2011-05-01,2,0,5,7.0,0,0,0,2,0.42,0.4242,0.77,0.0896,7,26,33,33.0
2795.0,2011-05-01,2,0,5,8.0,0,0,0,2,0.44,0.4394,0.77,0.1343,16,43,59,59.0
2796.0,2011-05-01,2,0,5,9.0,0,0,0,2,0.46,0.4545,0.72,0.1343,45,96,141,141.0
2797.0,2011-05-01,2,0,5,10.0,0,0,0,2,0.48,0.4697,0.63,0.194,109,155,264,264.0
2798.0,2011-05-01,2,0,5,11.0,0,0,0,1,0.46,0.4545,0.82,0.1045,109,141,250,250.0
2799.0,2011-05-01,2,0,5,12.0,0,0,0,2,0.48,0.4697,0.77,0.1045,109,172,281,281.0
2800.0,2011-05-01,2,0,5,13.0,0,0,0,2,0.5,0.4848,0.63,0.1642,123,209,332,332.0
2801.0,2011-05-01,2,0,5,14.0,0,0,0,2,0.5,0.4848,0.68,0.1045,85,153,238,238.0
2802.0,2011-05-01,2,0,5,15.0,0,0,0,2,0.5,0.4848,0.72,0.0,113,153,266,266.0
2803.0,2011-05-01,2,0,5,16.0,0,0,0,2,0.5,0.4848,0.72,0.194,75,139,214,214.0
2804.0,2011-05-01,2,0,5,17.0,0,0,0,2,0.48,0.4697,0.82,0.2537,60,136,196,196.0
2805.0,2011-05-01,2,0,5,18.0,0,0,0,2,0.46,0.4545,0.82,0.0896,33,126,159,159.0
2806.0,2011-05-01,2,0,5,19.0,0,0,0,2,0.46,0.4545,0.84,0.1045,47,131,178,178.0
2807.0,2011-05-01,2,0,5,20.0,0,0,0,2,0.46,0.4545,0.82,0.0,35,86,121,121.0
2808.0,2011-05-01,2,0,5,21.0,0,0,0,2,0.46,0.4545,0.82,0.0,23,82,105,105.0
2809.0,2011-05-01,2,0,5,22.0,0,0,0,2,0.46,0.4545,0.82,0.0,32,68,100,100.0
2810.0,2011-05-01,2,0,5,23.0,0,0,0,1,0.46,0.4545,0.77,0.194,64,82,146,146.0
2811.0,2011-05-02,2,0,5,0.0,0,1,1,1,0.46,0.4545,0.72,0.1343,68,109,177,177.0
2812.0,2011-05-02,2,0,5,1.0,0,1,1,1,0.46,0.4545,0.72,0.1343,41,73,114,114.0
2813.0,2011-05-02,2,0,5,2.0,0,1,1,2,0.44,0.4394,0.77,0.2239,16,19,35,35.0
2814.0,2011-05-02,2,0,5,3.0,0,1,1,1,0.44,0.4394,0.77,0.1343,9,7,16,16.0
2815.0,2011-05-02,2,0,5,4.0,0,1,1,1,0.44,0.4394,0.77,0.1642,9,8,17,17.0
2816.0,2011-05-02,2,0,5,5.0,0,1,1,2,0.44,0.4394,0.77,0.1343,4,16,20,20.0
2817.0,2011-05-02,2,0,5,6.0,0,1,1,1,0.44,0.4394,0.88,0.1045,3,59,62,62.0
2818.0,2011-05-02,2,0,5,7.0,0,1,1,2,0.46,0.4545,0.82,0.3284,16,193,209,209.0
2819.0,2011-05-02,2,0,5,8.0,0,1,1,2,0.48,0.4697,0.77,0.2239,21,350,371,371.0
2820.0,2011-05-02,2,0,5,9.0,0,1,1,2,0.5,0.4848,0.77,0.2836,41,131,172,172.0
2821.0,2011-05-02,2,0,5,10.0,0,1,1,2,0.54,0.5152,0.77,0.2239,31,77,108,108.0
2822.0,2011-05-02,2,0,5,11.0,0,1,1,1,0.58,0.5455,0.73,0.2985,34,96,130,130.0
2823.0,2011-05-02,2,0,5,12.0,0,1,1,1,0.62,0.6061,0.69,0.2239,40,147,187,187.0
2824.0,2011-05-02,2,0,5,13.0,0,1,1,2,0.62,0.6061,0.69,0.194,51,119,170,170.0
2825.0,2011-05-02,2,0,5,14.0,0,1,1,1,0.64,0.6061,0.69,0.2239,48,133,181,181.0
2826.0,2011-05-02,2,0,5,15.0,0,1,1,1,0.66,0.6212,0.61,0.194,45,110,155,155.0
2827.0,2011-05-02,2,0,5,16.0,0,1,1,1,0.66,0.6212,0.61,0.2239,49,220,269,269.0
2828.0,2011-05-02,2,0,5,17.0,0,1,1,1,0.66,0.6212,0.65,0.194,65,472,537,537.0
2829.0,2011-05-02,2,0,5,18.0,0,1,1,2,0.64,0.6061,0.65,0.194,68,450,518,518.0
2830.0,2011-05-02,2,0,5,19.0,0,1,1,2,0.62,0.6061,0.69,0.1343,46,268,314,314.0
2831.0,2011-05-02,2,0,5,20.0,0,1,1,2,0.62,0.6061,0.69,0.1343,44,174,218,218.0
2832.0,2011-05-02,2,0,5,21.0,0,1,1,2,0.6,0.5909,0.73,0.1045,54,178,232,232.0
2833.0,2011-05-02,2,0,5,22.0,0,1,1,2,0.6,0.5909,0.73,0.0,28,97,125,125.0
2834.0,2011-05-02,2,0,5,23.0,0,1,1,2,0.56,0.5303,0.83,0.194,16,48,64,64.0
2835.0,2011-05-03,2,0,5,0.0,0,2,1,2,0.56,0.5303,0.83,0.2239,0,16,16,16.0
2836.0,2011-05-03,2,0,5,1.0,0,2,1,2,0.56,0.5303,0.78,0.2537,0,14,14,14.0
2837.0,2011-05-03,2,0,5,2.0,0,2,1,2,0.56,0.5303,0.78,0.2537,0,5,5,5.0
2838.0,2011-05-03,2,0,5,3.0,0,2,1,1,0.54,0.5152,0.83,0.2836,0,2,2,2.0
2839.0,2011-05-03,2,0,5,4.0,0,2,1,1,0.52,0.5,0.88,0.2239,3,1,4,4.0
2840.0,2011-05-03,2,0,5,5.0,0,2,1,1,0.52,0.5,0.88,0.1343,0,14,14,14.0
2841.0,2011-05-03,2,0,5,6.0,0,2,1,2,0.52,0.5,0.94,0.1642,7,102,109,109.0
2842.0,2011-05-03,2,0,5,7.0,0,2,1,2,0.54,0.5152,0.88,0.2239,17,248,265,265.0
2843.0,2011-05-03,2,0,5,8.0,0,2,1,2,0.56,0.5303,0.83,0.2836,24,435,459,459.0
2844.0,2011-05-03,2,0,5,9.0,0,2,1,2,0.6,0.5758,0.78,0.3582,29,157,186,186.0
2845.0,2011-05-03,2,0,5,10.0,0,2,1,2,0.64,0.6061,0.69,0.3582,36,91,127,127.0
2846.0,2011-05-03,2,0,5,11.0,0,2,1,2,0.66,0.6212,0.65,0.3284,20,120,140,140.0
2847.0,2011-05-03,2,0,5,12.0,0,2,1,2,0.68,0.6364,0.61,0.4925,48,169,217,217.0
2848.0,2011-05-03,2,0,5,13.0,0,2,1,2,0.7,0.6515,0.58,0.6119,50,144,194,194.0
2849.0,2011-05-03,2,0,5,14.0,0,2,1,2,0.7,0.6515,0.58,0.5224,36,122,158,158.0
2850.0,2011-05-03,2,0,5,15.0,0,2,1,2,0.7,0.6515,0.58,0.4478,37,117,154,154.0
2851.0,2011-05-03,2,0,5,16.0,0,2,1,1,0.72,0.6667,0.54,0.4627,46,225,271,271.0
2852.0,2011-05-03,2,0,5,17.0,0,2,1,1,0.7,0.6515,0.54,0.4627,53,464,517,517.0
2853.0,2011-05-03,2,0,5,18.0,0,2,1,1,0.7,0.6515,0.48,0.4179,59,485,544,544.0
